ticker,harga,take_profit,stop_loss,aksi,prob_high,prob_low,prob_success,profit_potential_pct
ACES.JK,480.0,482.85,465.17,beli,0.82,0.88,0.85,0.59
ADMR.JK,890.0,905.66,884.82,beli,0.87,0.88,0.88,1.76
ADRO.JK,1780.0,1810.11,1768.68,beli,0.89,0.91,0.9,1.69
AKRA.JK,1035.0,1064.0,1027.15,beli,0.91,0.88,0.9,2.8
AMMN.JK,6150.0,6420.68,6053.61,beli,0.87,0.85,0.86,4.4
AMRT.JK,1985.0,1990.87,1945.05,beli,0.91,0.92,0.91,0.3
ANTM.JK,1950.0,1962.03,1913.52,beli,0.91,0.89,0.9,0.62
ARTO.JK,1535.0,1581.26,1525.73,beli,0.88,0.86,0.87,3.01
ASII.JK,4750.0,4761.17,4710.01,beli,0.92,0.86,0.89,0.24
AUTO.JK,2010.0,2039.95,1995.65,beli,0.88,0.87,0.88,1.49
AVIA.JK,398.0,400.23,393.99,beli,0.86,0.86,0.86,0.56
BBCA.JK,8375.0,8499.91,8354.95,beli,0.88,0.91,0.9,1.49
BBNI.JK,4070.0,4111.26,4040.53,beli,0.88,0.86,0.87,1.01
BBRI.JK,3630.0,3652.89,3609.54,beli,0.86,0.9,0.88,0.63
BBTN.JK,945.0,959.63,925.14,beli,0.88,0.87,0.88,1.55
BBYB.JK,189.0,191.59,187.85,beli,0.86,0.91,0.88,1.37
BDKR.JK,124.0,124.35,120.02,beli,0.78,0.97,0.88,0.28
BFIN.JK,780.0,785.61,770.18,beli,0.8,0.89,0.85,0.72
BMRI.JK,4600.0,4649.34,4570.14,beli,0.88,0.87,0.87,1.07
BMTR.JK,131.0,133.01,129.92,beli,0.78,0.91,0.85,1.53
BNGA.JK,1810.0,1819.39,1809.77,beli,0.83,0.86,0.85,0.52
BRIS.JK,2440.0,2589.56,2428.86,beli,0.9,0.88,0.89,6.13
BRMS.JK,374.0,380.75,369.32,beli,0.9,0.83,0.87,1.81
BRPT.JK,720.0,763.2,705.57,beli,0.91,0.89,0.9,6.0
BSDE.JK,795.0,819.68,790.2,beli,0.83,0.86,0.84,3.1
